id,name_en,name_sanskrit,food_group,calories_per_100g,protein_g,carbs_g,fat_g,fiber_g,vitamins,minerals,rasa,virya,vipaka,guna,dosha_effect,seasonal_suitability,digestion_level,region_common,contraindications,suggested_combinations,therapeutic_uses,recommended_portion
11,Walnuts,Akrot,Nut,607.9165230086049,21.452913156665264,18.55639037112508,51.943642411707955,10.486188311670256,"B2,B6,B1","Selenium,Calcium,Magnesium,Manganese","Madhura,Lavana,Tikta",Shita,Madhura,Laghu,"Reduces Kapha,Aggravates Kapha,Aggravates Vata","Summer,Monsoon",Guru,Himalayan,,"Ginger + Honey,Cumin + Rice","Digestive aid,Immunity enhancer",30g
12,Pistachios,Pista,Nut,594.7591744563648,21.099080426989772,15.377633811571677,50.4419489641636,11.044402686566023,"B1,B6","Calcium,Potassium,Manganese,Iron",Amla,Ushna,Madhura,"Snigdha,Guru",Balances Pitta,"Winter,Autumn",Guru,Pan-India,High cholesterol,"Cardamom + Tea,Cumin + Rice",Weight management,30g
13,Dates,Khajoor,Fruit,60.12052916640024,0.07317713011677995,16.639802378083754,3.0472657437975004,3.8922775457047982,D,"Zinc,Selenium,Manganese,Copper,Magnesium","Amla,Kashaya,Katu",Ushna,Katu,Teekshna,Reduces Pitta,All,Laghu,"South India,Himalayan","High cholesterol,Ulcer",Cumin + Rice,Energy booster,1 medium
14,Banana,Kela,Fruit,19.522734467994027,0.5489260528649633,23.997572307143912,5.185172322965491,2.863371851448813,"C,B2,B1,E","Manganese,Sodium",Lavana,Ushna,Madhura,Manda,Reduces Vata,"Winter,Monsoon",Guru,West India,,"Turmeric + Milk,Black pepper + Turmeric","Cooling agent,Digestive aid,Skin health",1 medium
15,Mango,Aam,Fruit,58.70246074030414,0.07626718744375804,7.463198216474767,2.390803008698894,2.948038653966619,,,Kashaya,Shita,Katu,Ruksha,Reduces Vata,"Winter,Monsoon",Laghu,East India,,"Ginger + Honey,Coriander + Coconut","Energy booster,Weight management",1 cup sliced
16,Spinach,Palak,Vegetable,22.3994771776402,2.072105211766106,3.754565691215779,0.0,2.2734898790333213,"A,B2,C,B6","Calcium,Potassium,Zinc",Tikta,Ushna,Madhura,"Manda,Guru","Aggravates Vata,Reduces Kapha,Balances Vata",Spring,Guru,"West India,East India",,"Ginger + Honey,Milk + Ghee","Respiratory health,Stress relief,Liver support",100g
17,Drumstick,Moringa,Vegetable,23.575458624676074,0.9054005562943055,5.933074149985909,0.48478082946495393,2.420382813624131,B12,"Phosphorus,Magnesium,Iron,Copper,Sodium","Amla,Katu,Lavana",Shita,Katu,"Ruksha,Manda","Balances Kapha,Aggravates Pitta","All,Winter",Guru,"North India,Pan-India","Lactation,Acidity,Heart disease",Milk + Ghee,"Weight management,Constipation",1 bowl
18,Bottle Gourd,Lauki,Vegetable,1.3457153277432568,0.44773402177505517,7.1736953880011445,3.3517175063923266,2.0239017042370224,"K,B12,B3,E",Copper,Kashaya,Shita,Amla,Guru,"Reduces Kapha,Reduces Pitta","Autumn,All",Guru,Coastal,,Milk + Ghee,Energy booster,100g
19,Turmeric,Haldi,Spice,274.9966890728638,12.309738690233864,61.62021682196222,7.103474708567832,25.3995417310766,,"Manganese,Calcium,Selenium","Tikta,Katu",Shita,Katu,"Laghu,Snigdha","Reduces Vata,Balances Pitta","Summer,Winter",Guru,"Pan-India,East India","Ulcer,Acidity,Pitta imbalance",Coriander + Coconut,Joint health,1g
20,Cumin,Jeera,Spice,293.27885446935306,11.28042542606373,53.64361462065805,8.324206505896948,24.999304039430793,"B1,C,E,A",,"Kashaya,Katu,Tikta",Shita,Katu,"Guru,Teekshna","Aggravates Pitta,Reduces Kapha,Balances Vata","Spring,All",Laghu,East India,"Pitta imbalance,Ulcer,Thyroid disorder,Acidity,Autoimmune condition",Black pepper + Turmeric,"Anemia,Skin health,Joint health",pinch
21,Coriander,Dhania,Spice,335.1980596965271,12.10706353826692,59.511895410074494,5.1804445002665345,25.625499784594943,"C,A,B2,B12","Manganese,Sodium,Selenium,Magnesium","Madhura,Lavana,Kashaya",Ushna,Madhura,Guru,Reduces Vata,"Monsoon,All",Guru,"West India,South India","Ulcer,Acidity,Pitta imbalance","Cloves + Tea,Cardamom + Tea,Turmeric + Milk",Weight management,1 tsp
22,Ginger,Adrak,Spice,273.1091688251825,12.61674823502922,54.31036021086322,4.414843183470665,25.725324736840818,"B6,A","Copper,Sodium,Phosphorus,Iron",Amla,Ushna,Katu,Ruksha,Aggravates Vata,"All,Monsoon",Guru,"West India,Pan-India","Ulcer,Acidity,Pitta imbalance","Coriander + Coconut,Cinnamon + Milk,Milk + Ghee",Energy booster,1 tsp
23,Garlic,Lehsun,Spice,291.1683059998047,13.9335822355105,64.9256181578439,5.472997455120936,26.313212826608748,,"Selenium,Sodium","Tikta,Kashaya,Madhura",Shita,Madhura,"Snigdha,Manda","Aggravates Kapha,Balances Vata,Reduces Vata","Autumn,Monsoon",Laghu,"Pan-India,North India","Ulcer,Acidity,Pitta imbalance","Fennel + Mint,Milk + Ghee","Stress relief,Immunity enhancer",pinch
24,Black Pepper,Kali Mirch,Spice,257.48971769882775,12.00893243930008,54.383069685189504,5.937317834275994,26.681623908701916,"B3,C,K","Sodium,Zinc,Manganese,Selenium","Lavana,Amla,Katu",Shita,Amla,"Ruksha,Teekshna","Reduces Vata,Aggravates Pitta,Aggravates Vata",Spring,Guru,"South India,Himalayan","Ulcer,Acidity,Pitta imbalance","Cinnamon + Milk,Coriander + Coconut,Ginger + Honey","Anemia,Digestive aid",1 tsp
25,Cardamom,Elaichi,Spice,348.72932117672474,11.313909585788839,57.914896461543066,4.529446024640819,25.416723612825308,"A,B2,D,E","Calcium,Selenium,Magnesium,Sodium,Iron",Tikta,Ushna,Katu,"Ruksha,Teekshna","Reduces Kapha,Aggravates Pitta,Balances Pitta",All,Guru,"South India,North India","Ulcer,Acidity,Pitta imbalance","Turmeric + Milk,Cinnamon + Milk","Cooling agent,Constipation",1g
26,Cinnamon,Dalchini,Spice,251.74625403379267,12.039288975394836,65.09464307278922,7.1686104761633445,26.431640155231715,,"Copper,Selenium",Amla,Ushna,Katu,Ruksha,"Balances Kapha,Aggravates Vata",Winter,Guru,South India,"Pitta imbalance,Lactation,Ulcer,Kidney disease,Acidity,Diabetes","Black pepper + Turmeric,Fennel + Mint,Cinnamon + Milk","Immunity enhancer,Cooling agent",1g
27,Cloves,Laung,Spice,327.4663263451411,11.712153032478938,63.63512869261776,8.469392207811703,26.892626529773946,"C,B1","Manganese,Phosphorus,Magnesium,Zinc","Madhura,Katu,Lavana",Shita,Amla,"Manda,Teekshna","Reduces Kapha,Balances Vata,Reduces Pitta","Autumn,Winter",Guru,"West India,East India","Hypertension,Pitta imbalance,Ulcer,Acidity,Obesity",Cardamom + Tea,"Digestive aid,Weight management,Skin health",1g
28,Fennel,Saunf,Spice,257.87660934920336,11.229593631704159,63.79796526486719,6.331737852484564,26.989420595727715,"B3,B6","Potassium,Phosphorus,Selenium,Iron","Kashaya,Lavana,Amla",Ushna,Amla,Guru,"Aggravates Kapha,Reduces Kapha,Balances Vata",Spring,Laghu,Pan-India,"Ulcer,Acidity,Pitta imbalance","Cumin + Rice,Cardamom + Tea","Weight management,Digestive aid",1 tsp
29,Asafoetida,Hing,Spice,276.87336591508665,12.21783971316572,60.96143370380957,5.483440949161885,26.940833567718887,"B2,A,B1,D",,"Kashaya,Madhura,Amla",Shita,Madhura,"Guru,Ruksha","Aggravates Vata,Aggravates Kapha",Autumn,Guru,North India,"Ulcer,Acidity,Pitta imbalance","Cardamom + Tea,Milk + Ghee","Joint health,Anemia",1 tsp
30,Curry Leaves,Kadi Patta,Spice,326.0659026984393,12.442978369815652,65.07988486199592,9.57921853539273,26.3230241923189,"K,E,B6","Sodium,Manganese,Magnesium,Iron","Madhura,Tikta,Amla",Ushna,Madhura,"Guru,Ruksha","Aggravates Pitta,Balances Kapha","Monsoon,Spring",Guru,Pan-India,"Ulcer,Acidity,Pitta imbalance","Cinnamon + Milk,Ginger + Honey,Cumin + Rice","Immunity enhancer,Liver support,Stress relief",pinch
31,Neem,Margosa,Vegetable,27.385283066403524,0.27266595679654504,0.5485900561663222,4.442747721602507,4.32315907028296,,Calcium,"Katu,Tikta",Ushna,Katu,Teekshna,"Reduces Pitta,Balances Kapha,Balances Vata","All,Winter",Guru,South India,,Milk + Ghee,"Joint health,Immunity enhancer",100g
32,Basil,Tulsi,Herb,51.622076381339156,2.8741841543217204,6.413082874871616,0.6389495592117549,4.5095044337604415,"B6,E","Phosphorus,Iron,Copper,Selenium","Madhura,Amla,Kashaya",Shita,Amla,Snigdha,"Reduces Pitta,Aggravates Kapha",Winter,Laghu,"Pan-India,East India","Pregnancy,Infection",Turmeric + Milk,"Weight management,Joint health",1g
33,Mint,Pudina,Herb,10.09808678024526,3.0608520680152482,6.220971321642224,0.0,4.33265907078899,"K,B2,B3,A","Iron,Calcium","Katu,Lavana,Kashaya",Shita,Madhura,"Guru,Snigdha",Balances Vata,"Autumn,Spring",Laghu,Himalayan,,"Coriander + Coconut,Milk + Ghee,Cinnamon + Milk","Cooling agent,Joint health",1g
34,Amla,Indian Gooseberry,Fruit,77.36069181562195,2.4368677173438154,20.632824772600138,1.7825069029180554,2.7209112771624246,"C,D,B1,B12","Manganese,Magnesium,Copper,Sodium","Katu,Tikta,Madhura",Ushna,Amla,"Teekshna,Snigdha","Reduces Kapha,Balances Pitta,Aggravates Vata",Autumn,Laghu,South India,"Allergy,Thyroid disorder,Hypertension","Milk + Ghee,Coriander + Coconut","Weight management,Constipation",100g
35,Ashwagandha,Winter Cherry,Herb,51.663699756263014,3.3401898619713806,13.164394386948391,0.0,4.1758389383776455,"B2,A,B6,K",,"Madhura,Katu",Shita,Katu,Manda,"Reduces Kapha,Aggravates Vata","All,Autumn",Laghu,South India,,"Black pepper + Turmeric,Fennel + Mint","Digestive aid,Respiratory health",1g
36,Triphala,Three Fruits,Herb,2.955138043759497,4.575493794496344,3.8150458465406505,1.8119953682655399,2.522750093518255,,Copper,"Lavana,Amla",Ushna,Madhura,"Manda,Teekshna","Aggravates Vata,Reduces Vata,Reduces Pitta",Winter,Guru,Himalayan,Obesity,"Coriander + Coconut,Cinnamon + Milk","Liver support,Anemia,Respiratory health",1g
37,Shatavari,Asparagus,Herb,42.599374951649835,3.127705418611701,14.78994880628543,1.6778120249196693,2.6913900924529957,"D,B3","Copper,Phosphorus,Selenium,Zinc","Kashaya,Lavana,Katu",Shita,Madhura,Manda,Aggravates Kapha,All,Guru,"Pan-India,East India",,"Coriander + Coconut,Milk + Ghee",Energy booster,1g
38,Brahmi,Water Hyssop,Herb,61.966137559383824,3.9178984959637626,2.9927974798965495,2.1060566330914607,3.865462217556651,"K,B6,E","Calcium,Magnesium","Tikta,Madhura,Katu",Shita,Amla,"Ruksha,Laghu","Reduces Vata,Balances Vata","All,Summer",Guru,"South India,Coastal",,Cloves + Tea,Immunity enhancer,1 tsp
39,Guggulu,Commiphora,Resin,130.17279194557057,2.1572505923828666,16.926605735907756,3.868355467656453,2.667625232458841,"B3,A,B2","Magnesium,Phosphorus","Amla,Madhura,Katu",Ushna,Amla,"Snigdha,Laghu","Balances Kapha,Aggravates Pitta",Winter,Guru,"South India,East India",,"Cardamom + Tea,Cumin + Rice,Black pepper + Turmeric",Constipation,1 serving
40,Licorice,Mulethi,Herb,0.0,2.0782449015009763,8.838829291518785,0.05794903132652007,3.314113893843934,"C,B2","Potassium,Sodium","Kashaya,Madhura",Ushna,Madhura,"Teekshna,Laghu","Balances Kapha,Balances Vata","Summer,Monsoon",Laghu,Himalayan,,"Fennel + Mint,Turmeric + Milk,Cardamom + Tea","Stress relief,Cooling agent",few leaves
41,Fenugreek,Methi,Legume,106.4778130983265,9.558992962720824,14.287876210787292,4.3813908480577375,8.344367637449805,"D,B2",,Katu,Ushna,Katu,Teekshna,"Balances Vata,Aggravates Pitta,Balances Pitta","Autumn,Monsoon",Guru,South India,"Bloating,Gas,Vata imbalance","Turmeric + Milk,Fennel + Mint",Stress relief,1/2 cup cooked
42,Sesame,Til,Seed,97.18333379617704,2.5518122895908073,26.19534735753412,0.44715993295895906,2.625638258032829,"B1,B6,D","Magnesium,Selenium,Manganese","Katu,Tikta,Kashaya",Ushna,Madhura,"Guru,Snigdha","Aggravates Kapha,Balances Vata,Reduces Kapha",All,Guru,North India,,"Ginger + Honey,Cardamom + Tea,Coriander + Coconut","Skin health,Anemia,Joint health",1 serving
43,Flaxseed,Alsi,Seed,143.77028886531622,3.527275581470352,16.12747399702478,3.992308019485783,1.2510458391812869,"D,B12,B2",Phosphorus,"Amla,Lavana",Ushna,Madhura,Snigdha,"Reduces Pitta,Reduces Vata,Aggravates Vata",Summer,Guru,East India,Diabetes,"Ginger + Honey,Milk + Ghee,Black pepper + Turmeric","Stress relief,Liver support,Skin health",1 serving
44,Pumpkin Seeds,Kaddu Ke Beej,Seed,91.0947147911458,3.960349255843815,18.81339095492565,2.9148279451062717,2.4702426901976597,"D,K,E,B1","Selenium,Potassium,Sodium",Katu,Ushna,Madhura,"Snigdha,Teekshna","Aggravates Vata,Reduces Vata","Autumn,All",Guru,"Coastal,Pan-India",,Cumin + Rice,Digestive aid,1 serving
45,Sunflower Seeds,Surajmukhi Ke Beej,Seed,136.0538905343242,2.9076408199699904,14.352286259333356,0.5888061046483479,1.093432043424364,,"Manganese,Sodium,Copper","Kashaya,Katu,Lavana",Shita,Madhura,Ruksha,Aggravates Vata,Summer,Laghu,West India,,"Coriander + Coconut,Cumin + Rice","Digestive aid,Respiratory health",1 serving
46,Coconut,Nariyal,Fruit,26.90032210523549,2.202076511703172,19.521089957322545,3.598691793242068,2.698424495165884,"B12,A,B2,E","Sodium,Iron,Magnesium",Tikta,Shita,Madhura,Guru,"Reduces Vata,Reduces Pitta,Aggravates Pitta",Autumn,Laghu,"Coastal,East India",,Ginger + Honey,Energy booster,1 cup sliced
47,Watermelon,Tarbooj,Fruit,84.26836847268066,0.4451524649469254,11.646159461034733,2.2586152666329697,3.174183161969717,B6,"Copper,Manganese","Tikta,Kashaya",Ushna,Katu,Ruksha,"Aggravates Kapha,Balances Pitta,Reduces Pitta","All,Spring",Laghu,North India,Pregnancy,"Black pepper + Turmeric,Fennel + Mint,Cloves + Tea","Skin health,Immunity enhancer,Cooling agent",100g
48,Papaya,Papita,Fruit,45.071628251341636,0.18238696850970826,8.705873989709696,0.8277410359950865,3.4455172418439752,"B2,E,B6,D","Phosphorus,Sodium,Iron","Madhura,Tikta",Ushna,Amla,"Guru,Snigdha","Aggravates Vata,Reduces Vata,Aggravates Kapha","Spring,Monsoon",Laghu,"North India,Pan-India",,"Turmeric + Milk,Coriander + Coconut","Joint health,Liver support,Anemia",1 cup sliced
49,Pineapple,Ananas,Fruit,30.887188036344774,0.678679030432066,23.103451653038974,1.594540444845112,2.4527765228352365,"C,K,A","Magnesium,Potassium,Manganese,Iron","Tikta,Kashaya,Amla",Ushna,Amla,Teekshna,"Aggravates Pitta,Aggravates Kapha",Summer,Laghu,North India,"Ulcer,Fever","Cardamom + Tea,Milk + Ghee",Liver support,100g
50,Apple,Seb,Fruit,67.76430002117533,1.7976916331182062,19.84232688087279,0.5536686060139826,3.0043914935045004,C,"Copper,Potassium,Selenium,Manganese",Amla,Shita,Katu,"Snigdha,Laghu",Aggravates Vata,Winter,Laghu,East India,"Lactation,Thyroid disorder",Turmeric + Milk,Energy booster,1 cup sliced
51,Orange,Santra,Fruit,46.994702728508365,0.6595988675593969,17.298194618135387,3.8609410333958074,3.899879738440756,"D,B2","Copper,Calcium,Zinc",Amla,Ushna,Katu,"Teekshna,Ruksha","Aggravates Pitta,Balances Pitta",Monsoon,Guru,Pan-India,,Cardamom + Tea,"Cooling agent,Energy booster,Immunity enhancer",1 medium
52,Grapes,Angoor,Fruit,65.32883307448219,0.753755166146477,10.39388904890769,0.13883300934336923,2.129109530295734,"B3,D","Calcium,Magnesium","Katu,Lavana,Madhura",Ushna,Madhura,"Teekshna,Snigdha","Aggravates Kapha,Aggravates Pitta","Spring,All",Laghu,"East India,South India",,Cardamom + Tea,"Skin health,Weight management,Anemia",1 cup sliced
53,Pomegranate,Anaar,Fruit,80.91253112078302,0.37827864470171546,8.601607282509462,4.336421242350343,2.910473127313697,"B1,B12,E,A","Selenium,Potassium,Calcium,Iron,Zinc","Kashaya,Amla,Katu",Shita,Madhura,"Laghu,Teekshna",Aggravates Kapha,Summer,Guru,West India,"Heart disease,Obesity",Cinnamon + Milk,"Constipation,Digestive aid",1 medium
54,Guava,Amrud,Fruit,73.47516920174306,0.0,9.299296936162646,2.4404746380874496,3.1045904182246247,"B1,B3,C,K","Phosphorus,Potassium,Magnesium","Madhura,Katu",Ushna,Madhura,"Teekshna,Ruksha","Balances Vata,Balances Pitta","Spring,Autumn",Laghu,"Himalayan,North India",,"Coriander + Coconut,Black pepper + Turmeric","Joint health,Digestive aid",1 cup sliced
55,Kiwi,Kiwifruit,Fruit,72.72580833379936,0.555918976285771,24.339807216021686,1.876310991678311,3.0515436624880734,D,,"Tikta,Madhura,Kashaya",Shita,Katu,Manda,"Reduces Vata,Reduces Pitta,Aggravates Vata","Monsoon,Spring",Laghu,"West India,South India",,Cumin + Rice,"Weight management,Stress relief,Constipation",100g
56,Carrot,Gajar,Vegetable,24.012379832852872,1.8135102678203423,13.630304359597545,1.5329224286285634,3.976718119800057,K,"Selenium,Copper,Potassium","Kashaya,Lavana,Madhura",Ushna,Amla,"Snigdha,Teekshna","Balances Vata,Aggravates Vata,Reduces Pitta","All,Summer",Guru,South India,,"Milk + Ghee,Cinnamon + Milk",Joint health,1 cup
57,Beetroot,Chukandar,Vegetable,0.0,0.9558903963566531,13.423462728512824,0.9073846903134216,3.4064021921548253,B2,,"Lavana,Tikta,Amla",Shita,Madhura,"Laghu,Snigdha","Balances Pitta,Reduces Pitta,Reduces Kapha",All,Guru,"West India,North India",Hypertension,Turmeric + Milk,Skin health,1 bowl
58,Radish,Mooli,Vegetable,21.775161455883904,1.3084667389029407,8.091958950357848,5.040057988195305,2.1346715764157898,,"Copper,Phosphorus,Selenium","Kashaya,Amla,Tikta",Ushna,Amla,"Teekshna,Manda",Aggravates Vata,"Monsoon,All",Laghu,"Himalayan,North India",,"Turmeric + Milk,Cumin + Rice,Cloves + Tea","Joint health,Constipation",1 cup
59,Cabbage,Patta Gobi,Vegetable,60.63339148097309,2.4822772841051,2.6747091308554456,1.0271978701965288,2.5165706485230483,B12,"Manganese,Sodium,Calcium,Phosphorus,Copper","Madhura,Tikta",Shita,Madhura,Teekshna,"Balances Pitta,Balances Kapha","Autumn,Spring",Laghu,"Coastal,Pan-India","High cholesterol,Heart disease","Milk + Ghee,Cinnamon + Milk",Skin health,1 cup
60,Cauliflower,Gobi,Vegetable,35.248185080262004,2.4063224467857047,13.783945600908165,1.0221893932335377,2.9458060886477604,"A,C,B1,B6","Copper,Phosphorus,Selenium","Amla,Lavana,Katu",Shita,Madhura,Snigdha,"Reduces Pitta,Balances Pitta","Monsoon,Summer",Guru,West India,,Black pepper + Turmeric,"Anemia,Respiratory health,Stress relief",100g
61,Brinjal,Baingan,Vegetable,62.54429296742995,0.7714449189601364,0.16087918095437637,4.832465051586045,2.9799117440294034,"A,B12,B2,B3","Copper,Calcium,Zinc","Madhura,Katu,Tikta",Ushna,Amla,"Manda,Laghu",Aggravates Pitta,Autumn,Guru,"West India,Himalayan",,"Cinnamon + Milk,Cloves + Tea","Anemia,Liver support",1 cup
62,Ladyfinger,Bhindi,Vegetable,37.32942223043312,2.0588970812477383,6.0561379009200955,0.8607560446494479,3.5004186918141404,"B2,B1,D",Manganese,"Lavana,Kashaya",Ushna,Katu,"Manda,Laghu","Balances Vata,Balances Kapha,Reduces Vata","All,Winter",Laghu,"Coastal,East India",,"Cinnamon + Milk,Turmeric + Milk","Skin health,Weight management,Stress relief",100g
63,Green Peas,Matar,Legume,156.7216416060533,8.969865932797017,27.84071357782496,3.5514869145407726,8.391879743210822,E,Calcium,"Katu,Amla,Madhura",Shita,Katu,Laghu,"Balances Pitta,Reduces Vata",Summer,Laghu,Pan-India,"Bloating,Gas,Vata imbalance",Fennel + Mint,"Joint health,Digestive aid",1/2 cup cooked
64,Corn,Makka,Grain,306.65039053201684,8.830206672716011,78.38442042137264,5.149889803498265,4.594398769064338,"B3,B6,C,B1","Sodium,Manganese,Calcium,Potassium,Phosphorus","Madhura,Tikta,Lavana",Shita,Madhura,"Laghu,Teekshna","Aggravates Kapha,Reduces Vata,Reduces Pitta",Autumn,Guru,Pan-India,,Cinnamon + Milk,Digestive aid,1 bowl
65,Soybean,Soyabeans,Legume,120.25067455894651,8.923521062065266,16.874310296963287,2.2678339827809344,7.542844607390375,"B3,B12,D,B2","Copper,Sodium","Tikta,Lavana",Shita,Katu,Laghu,"Reduces Vata,Balances Kapha","All,Summer",Guru,East India,"Bloating,Gas,Vata imbalance",Cloves + Tea,Cooling agent,1/2 cup cooked
66,Tofu,Bean Curd,Legume,100.32483559406924,10.527818796576124,11.867630593034788,4.380163529640997,7.939232496941671,,Iron,"Madhura,Amla",Shita,Madhura,Manda,"Aggravates Vata,Balances Pitta","Spring,Monsoon",Laghu,"North India,West India","Bloating,Gas,Vata imbalance",Cumin + Rice,Constipation,50g
67,Paneer,Cottage Cheese,Dairy,91.59594542099057,4.212184945755498,0.33933962390594274,4.764099529979025,0.5977603310283459,"C,B12,B3","Calcium,Iron,Manganese,Copper",Lavana,Ushna,Madhura,Guru,"Aggravates Vata,Balances Kapha,Reduces Pitta",Winter,Laghu,South India,"Kidney disease,Lactose intolerance,Kapha imbalance","Cardamom + Tea,Turmeric + Milk,Cinnamon + Milk","Respiratory health,Cooling agent,Anemia",100ml
68,Butter,Makkhan,Dairy,66.33521086861157,4.680324391431689,0.0,3.21995758609778,1.0045868422834143,,"Zinc,Manganese,Potassium,Copper,Magnesium","Katu,Madhura,Kashaya",Shita,Amla,"Laghu,Ruksha","Balances Kapha,Reduces Pitta,Reduces Kapha","All,Autumn",Guru,Coastal,"Lactose intolerance,Kapha imbalance,Underweight",Cumin + Rice,Stress relief,2 tbsp
69,Cheese,Paneer,Dairy,75.0615718696565,4.619614477746757,1.1911767782385496,3.276081580515239,1.8331688350555844,"K,D,B12,B6",Sodium,Katu,Ushna,Katu,"Snigdha,Laghu","Aggravates Pitta,Reduces Kapha,Balances Kapha",All,Laghu,"Coastal,Himalayan","Lactose intolerance,Kapha imbalance","Fennel + Mint,Cardamom + Tea,Coriander + Coconut","Anemia,Stress relief,Energy booster",1 cup
70,Yogurt,Curd,Dairy,89.7661203257585,2.442046556143331,3.9511952307805984,6.993814058901074,1.6095348936103333,"B1,B2,B6,D","Iron,Copper,Selenium,Potassium,Zinc","Kashaya,Lavana,Amla",Ushna,Amla,"Laghu,Manda","Reduces Pitta,Aggravates Pitta,Balances Kapha","Summer,All",Guru,South India,"Lactose intolerance,Kapha imbalance","Cloves + Tea,Cinnamon + Milk,Ginger + Honey","Liver support,Cooling agent",1 cup
71,Honey,Shehad,Sweetener,382.19678659807454,1.6208256861750643,94.27477108554652,4.108219902660288,1.3120246621983758,"B6,D",Calcium,Kashaya,Ushna,Katu,Ruksha,Aggravates Pitta,Monsoon,Laghu,East India,"Kapha imbalance,Pregnancy,High cholesterol,Allergy,Diabetes,Obesity",Black pepper + Turmeric,"Skin health,Energy booster,Liver support",5g
72,Jaggery,Gur,Sweetener,351.48157110217556,0.49563360246847,97.14101940967377,0.9267351415129899,1.5966640702842367,,,"Amla,Tikta",Ushna,Katu,Guru,"Balances Vata,Aggravates Kapha,Aggravates Pitta","Summer,Spring",Guru,East India,"Diabetes,Obesity,Kapha imbalance","Ginger + Honey,Coriander + Coconut",Stress relief,1 tsp
